feature,group,mean_abs_shap,mean_shap
iptm_tcrpmhc,Conf,0.2024259791687145,-0.008917819614526371
iptm_mean,Conf,0.051983669186205256,-0.012567744484653136
cdr1_A,Conf,0.03831422471436428,0.007757838486515293
pae_median,PAE,0.023475150302763873,0.0014120735517633243
pdockq2_pmhc,Conf,0.02196250907466322,-0.0018680650555047797
cdr2_A,Conf,0.02158974468485815,0.0008944875927892318
pae_frac_lt_5,PAE,0.019535403610760702,0.00015833973544271732
cdr3_B,Conf,0.018757344667480347,-0.001043824854937113
avgipae_tcr,Conf,0.010416076022601256,-0.0012235180143169851
global_plddt,Conf,0.010378520532265725,0.001177023156203876
pdockq,Conf,0.009395477152221837,0.0019422810756666395
pae_std,PAE,0.009384292146367419,0.0010238738994856008
pae_p90,PAE,0.008713738330316002,-0.0005837539716402492
pdockq2_tcr,Conf,0.00829403777849177,-8.944670011913195e-05
cdr1_B,Conf,0.008123259358274525,-0.00015955254925402438
avgipae_pmhc,Conf,0.007323810290922935,0.00033428580167196674
pae_mean,PAE,0.006982595004009722,0.000827762614171251
pae_frac_gt_15,PAE,0.005029760126751984,-0.0009701278456268489
pae_p10,PAE,0.004941819071490724,0.0017483964748036182
cdr2_B,Conf,0.004854749590513662,-0.0010173476723321126
pae_asymmetry,PAE,0.0035617969059905104,-0.00015807954694915046
pae_max,PAE,0.003283376839278229,-0.00022905252275179502
cdr3_A,Conf,0.0027222735764177285,-0.0003733547154162849
