dataset,split,feature_set,n_folds,n_features,macro_auc,macro_auc_sd,macro_auc_0.1,macro_auc_0.1_sd
VDJDB,RS,ESM-2 only,5,288,0.80782743,0.04730678,0.86343454,0.03302761
VDJDB,RS,Confidence only,5,4,0.75479711,0.01928672,0.83140026,0.01227703
VDJDB,RS,Geometry only,5,11,0.67031300,0.05157760,0.77825419,0.02545030
VDJDB,RS,ESM-2 + confidence,5,292,0.85873611,0.02951623,0.89276787,0.02004414
VDJDB,RS,ESM-2 + geometry,5,299,0.85911142,0.02644610,0.89455644,0.01963040
VDJDB,RS,Full TAPAS,5,303,0.86675240,0.01588255,0.89847765,0.01407518
VDJDB,SS,ESM-2 only,5,288,0.58299490,0.04274402,0.72456855,0.04622207
VDJDB,SS,Confidence only,5,4,0.65728012,0.04733622,0.77554159,0.03706199
VDJDB,SS,Geometry only,5,11,0.66960256,0.02638174,0.77363232,0.03183232
VDJDB,SS,ESM-2 + confidence,5,292,0.76201754,0.04781653,0.83270305,0.03987767
VDJDB,SS,ESM-2 + geometry,5,299,0.74081657,0.06004180,0.81613596,0.04771369
VDJDB,SS,Full TAPAS,5,303,0.77480925,0.03884282,0.84253315,0.02997907
