sample_id,pae_mean,pae_max,pae_std,pae_median,pae_p10,pae_p90,pae_frac_lt_5,pae_frac_gt_15,pae_asymmetry,pae_run
vdjdb_full_10016_rs_0_n0_iptm_filtered,13.963059,26.6,9.199862,13.3,2.1,25.0,0.25494276795005205,0.46409989594172735,2.5933402,0
vdjdb_full_10016_rs_1_n0_iptm_filtered,6.762,28.3,9.460273,2.6,0.89,26.61,0.79,0.18,0.72,0
vdjdb_full_10016_rs_2_n0_iptm_filtered,13.967993,30.2,11.133573,8.4,2.15,28.5,0.314878892733564,0.3953287197231834,2.1103806,0
vdjdb_full_10016_rs_3_n0_iptm_filtered,5.2060356,14.8,3.6906016,3.5,1.1800001,10.22,0.551440329218107,0.0,1.2438958,0
vdjdb_full_10016_rs_4_n0_iptm_filtered,6.1234283,18.9,3.7882588,5.6,1.6,10.8,0.4685714285714286,0.019591836734693877,1.948408,0
vdjdb_full_10016_ss_0_n0_iptm_filtered,6.333884,21.3,3.8623135,6.1,1.5,11.22,0.4214876033057851,0.02295684113865932,2.3849404,0
vdjdb_full_10016_ss_1_n0_iptm_filtered,4.7116346,20.5,3.1021888,4.2,1.4,7.97,0.6461218836565097,0.01731301939058172,2.0731301,0
vdjdb_full_10016_ss_2_n0_iptm_filtered,10.203428,26.0,8.354288,5.7,1.5,22.1,0.46122448979591835,0.3820408163265306,2.449306,0
vdjdb_full_10016_ss_3_n0_iptm_filtered,9.549556,20.6,6.507605,8.95,1.5,17.4,0.39349112426035504,0.34911242603550297,1.5766273,0
vdjdb_full_10016_ss_4_n0_iptm_filtered,13.539959,29.0,10.986433,7.6,2.0,27.5,0.3829344432882414,0.4120707596253902,1.7446408,0
vdjdb_full_10026_rs_0_n0_iptm_filtered,7.8376956,20.8,6.250827,4.6,1.4,16.8,0.5205078125,0.1865234375,2.2152343,0
vdjdb_full_10026_rs_1_n0_iptm_filtered,13.157062,27.4,9.725273,12.3,1.2,25.4,0.3469387755102041,0.4555102040816327,2.6915917,0
vdjdb_full_10026_rs_2_n0_iptm_filtered,8.320846,22.1,6.523412,4.8,1.5,17.5,0.5068870523415978,0.23875114784205692,1.947842,0
vdjdb_full_10026_rs_3_n0_iptm_filtered,13.511735,27.2,9.78338,10.6,1.9,25.1,0.3201530612244898,0.45918367346938777,1.9198979,0
vdjdb_full_10026_rs_4_n0_iptm_filtered,3.4810188,10.3,1.7536016,3.3,1.2,5.75,0.8140432098765432,0.0,1.0462962,0
vdjdb_full_10026_ss_0_n0_iptm_filtered,14.845997,30.6,12.120745,8.5,1.6,29.6,0.375,0.439453125,2.3228517,0
vdjdb_full_10026_ss_1_n0_iptm_filtered,12.768044,26.9,9.604293,9.8,1.6,24.82,0.3287419651056015,0.411386593204775,2.4811754,0
vdjdb_full_10026_ss_2_n0_iptm_filtered,13.034027,28.9,11.093661,6.5,1.6,26.8,0.4464099895941727,0.41935483870967744,1.9061395,0
vdjdb_full_10026_ss_3_n0_iptm_filtered,12.156661,27.6,9.860786,7.2,1.6,25.3,0.3944636678200692,0.3961937716262976,2.2247403,0
vdjdb_full_10026_ss_4_n0_iptm_filtered,9.996052,22.7,6.3151393,10.1,1.8,18.2,0.3269054178145087,0.310376492194674,3.1013772,0
vdjdb_full_10031_rs_0_n0_iptm_filtered,6.3103514,18.5,3.4919817,6.6,1.8,10.97,0.3896484375,0.009765625,2.1964843,0
vdjdb_full_10031_rs_1_n0_iptm_filtered,4.3859468,13.9,2.4999695,4.1,1.4,7.8500004,0.6405325443786982,0.0,1.7624263,0
vdjdb_full_10031_rs_2_n0_iptm_filtered,13.95372,29.7,11.37877,8.55,1.7,28.6,0.3719723183391003,0.4039792387543253,2.202249,0
vdjdb_full_10031_rs_3_n0_iptm_filtered,10.808675,23.4,9.315188,4.1499996,1.0,21.8,0.5204081632653061,0.45918367346938777,0.9969388,0
vdjdb_full_10031_rs_4_n0_iptm_filtered,10.683391,24.8,8.922887,5.75,1.3499999,22.7,0.46972318339100344,0.3944636678200692,2.235294,0
vdjdb_full_10031_ss_0_n0_iptm_filtered,14.775696,28.3,10.35351,12.9,1.5,26.1,0.2777777777777778,0.4826388888888889,1.4659724,0
vdjdb_full_10031_ss_1_n0_iptm_filtered,13.684747,29.2,9.980096,10.2,2.1,27.0,0.25706771860618016,0.3865877712031558,2.4188035,0
vdjdb_full_10031_ss_2_n0_iptm_filtered,8.066556,20.3,4.6648836,8.6,1.7,14.0,0.33,0.05444444444444444,2.5495558,0
vdjdb_full_10031_ss_3_n0_iptm_filtered,11.476327,27.5,9.567082,6.3,1.5,24.9,0.4179591836734694,0.3877551020408163,2.3462856,0
vdjdb_full_10031_ss_4_n0_iptm_filtered,8.919103,22.6,7.028548,5.6,1.3399999,18.5,0.4742857142857143,0.3314285714285714,1.9420408,0
vdjdb_full_10032_rs_0_n0_iptm_filtered,5.257422,15.7,2.6737993,5.1,1.8,8.7,0.4765625,0.001953125,1.8808594,0
vdjdb_full_10032_rs_1_n0_iptm_filtered,10.045365,25.6,8.578251,5.1,1.5,22.0,0.4917817225509533,0.37212360289283364,2.2974358,0
vdjdb_full_10032_rs_2_n0_iptm_filtered,2.7799726,8.1,1.1424156,2.8,1.28,4.1,0.9657064471879286,0.0,0.57997257,0
vdjdb_full_10032_rs_3_n0_iptm_filtered,14.825444,29.4,11.418557,9.95,1.9,28.4,0.3431952662721893,0.4526627218934911,1.8721893,0
vdjdb_full_10032_rs_4_n0_iptm_filtered,13.157062,27.4,9.725273,12.3,1.2,25.4,0.3469387755102041,0.4555102040816327,2.6915917,0
vdjdb_full_10032_ss_0_n0_iptm_filtered,9.568961,23.7,7.7033916,4.9,1.4,19.4,0.504,0.416,1.77984,0
vdjdb_full_10032_ss_1_n0_iptm_filtered,4.3070073,13.4,2.2349987,4.1,1.5,7.3,0.657439446366782,0.0,1.6122838,0
vdjdb_full_10032_ss_2_n0_iptm_filtered,14.916323,29.5,12.424576,9.45,1.2,28.5,0.44214876033057854,0.4834710743801653,1.3219007,0
vdjdb_full_10032_ss_3_n0_iptm_filtered,11.479707,27.8,11.118181,3.7,1.3,26.1,0.5821854912764004,0.39669421487603307,1.1239669,0
vdjdb_full_10032_ss_4_n0_iptm_filtered,9.983456,24.9,7.8332667,6.4,1.6,20.9,0.45265348595213317,0.3891779396462019,2.7935486,0
vdjdb_full_10092_rs_0_n0_iptm_filtered,11.208102,26.5,9.007511,7.0,1.6,23.4,0.4293628808864266,0.3767313019390582,2.446676,0
vdjdb_full_10092_rs_1_n0_iptm_filtered,11.001928,27.3,9.783631,4.9,1.3,24.6,0.5032139577594124,0.39669421487603307,2.375941,0
vdjdb_full_10092_rs_2_n0_iptm_filtered,5.513675,18.4,3.4148567,4.9,1.4,10.2,0.5029585798816568,0.007889546351084813,2.0635107,0
vdjdb_full_10092_rs_3_n0_iptm_filtered,3.6461077,12.2,1.811806,3.45,1.5,5.95,0.8105536332179931,0.0,1.2596885,0
vdjdb_full_10092_rs_4_n0_iptm_filtered,14.908026,28.8,12.034562,17.95,1.4,27.7,0.43209876543209874,0.5,0.9123456,0
vdjdb_full_10092_ss_0_n0_iptm_filtered,4.993144,17.7,3.171554,4.2,1.4,9.3,0.546398891966759,0.006925207756232687,1.7400278,0
vdjdb_full_10092_ss_1_n0_iptm_filtered,14.825444,29.4,11.418557,9.95,1.9,28.4,0.3431952662721893,0.4526627218934911,1.8721893,0
vdjdb_full_10092_ss_2_n0_iptm_filtered,2.5469136,6.0,1.3045114,2.5,0.8,4.1,0.9382716049382716,0.0,0.7777778,0
vdjdb_full_10092_ss_3_n0_iptm_filtered,9.1,23.6,9.052954,3.05,0.9,21.67,0.625,0.375,1.0083332,0
vdjdb_full_10092_ss_4_n0_iptm_filtered,13.879132,29.1,12.529873,3.85,1.0,27.6,0.5165289256198347,0.4834710743801653,0.7780991,0
vdjdb_full_10103_rs_0_n0_iptm_filtered,12.863889,26.9,9.828447,9.35,1.7,24.7,0.390625,0.46875,2.4416666,0
vdjdb_full_10103_rs_1_n0_iptm_filtered,11.535804,26.8,9.180545,7.7,1.3,24.1,0.37880886426592797,0.3739612188365651,2.9076178,0
vdjdb_full_10103_rs_2_n0_iptm_filtered,2.3478515,7.7,1.2092398,2.1,1.0,3.9,0.9541015625,0.0,0.8613281,0
vdjdb_full_10103_rs_3_n0_iptm_filtered,11.463101,22.9,7.5633783,9.9,1.98,20.9,0.3045267489711934,0.44170096021947874,2.3967078,0
vdjdb_full_10103_rs_4_n0_iptm_filtered,11.838735,27.7,10.006767,6.05,1.5,25.3,0.42669753086419754,0.38503086419753085,2.0753088,0
vdjdb_full_10103_ss_0_n0_iptm_filtered,14.775696,28.3,10.35351,12.9,1.5,26.1,0.2777777777777778,0.4826388888888889,1.4659724,0
