feature,split,auc_fold0,auc_fold1,auc_fold2,auc_fold3,auc_fold4,auc_mean,auc01_fold0,auc01_fold1,auc01_fold2,auc01_fold3,auc01_fold4,auc01_mean
iptm_tcrpmhc,rs,0.847,0.854,0.851,0.846,0.838,0.847,0.810,0.820,0.827,0.807,0.829,0.819
iptm_tcrpmhc,ss,0.864,0.841,0.869,0.842,0.851,0.854,0.754,0.662,0.744,0.723,0.743,0.725
global_plddt,rs,0.807,0.809,0.809,0.803,0.789,0.803,0.788,0.786,0.795,0.775,0.814,0.792
global_plddt,ss,0.816,0.798,0.832,0.805,0.819,0.814,0.703,0.660,0.738,0.702,0.703,0.701
cdr1_A,rs,0.791,0.791,0.781,0.785,0.772,0.784,0.778,0.763,0.779,0.776,0.789,0.777
cdr1_A,ss,0.818,0.790,0.778,0.776,0.781,0.789,0.686,0.641,0.700,0.702,0.719,0.690
cdr2_A,rs,0.752,0.759,0.757,0.738,0.742,0.750,0.755,0.746,0.756,0.727,0.766,0.750
cdr2_A,ss,0.756,0.757,0.759,0.742,0.746,0.752,0.654,0.599,0.715,0.652,0.713,0.667
cdr3_A,rs,0.760,0.774,0.767,0.760,0.739,0.760,0.744,0.761,0.749,0.744,0.764,0.752
cdr3_A,ss,0.794,0.751,0.769,0.757,0.768,0.768,0.681,0.608,0.701,0.664,0.678,0.666
cdr1_B,rs,0.805,0.808,0.800,0.792,0.796,0.800,0.791,0.790,0.790,0.778,0.801,0.790
cdr1_B,ss,0.808,0.812,0.821,0.788,0.803,0.806,0.711,0.659,0.743,0.698,0.661,0.694
cdr2_B,rs,0.816,0.811,0.804,0.802,0.801,0.807,0.779,0.775,0.790,0.754,0.803,0.780
cdr2_B,ss,0.822,0.813,0.832,0.796,0.813,0.815,0.707,0.663,0.704,0.692,0.742,0.702
cdr3_B,rs,0.782,0.787,0.783,0.783,0.778,0.783,0.763,0.761,0.777,0.784,0.771,0.771
cdr3_B,ss,0.799,0.783,0.791,0.776,0.787,0.787,0.692,0.636,0.723,0.707,0.683,0.688
iptm_mean,rs,0.848,0.853,0.850,0.842,0.834,0.846,0.810,0.827,0.816,0.814,0.825,0.818
iptm_mean,ss,0.865,0.838,0.868,0.841,0.848,0.852,0.737,0.659,0.749,0.718,0.747,0.722
pdockq,rs,0.791,0.788,0.779,0.781,0.791,0.786,0.804,0.765,0.775,0.779,0.811,0.787
pdockq,ss,0.812,0.782,0.796,0.765,0.782,0.788,0.705,0.639,0.688,0.678,0.713,0.684
avgipae_pmhc,rs,0.841,0.850,0.842,0.836,0.827,0.839,0.791,0.824,0.815,0.798,0.830,0.812
avgipae_pmhc,ss,0.858,0.832,0.868,0.829,0.845,0.846,0.733,0.658,0.752,0.716,0.743,0.720
avgipae_tcr,rs,0.834,0.846,0.836,0.832,0.817,0.833,0.800,0.800,0.800,0.792,0.819,0.802
avgipae_tcr,ss,0.846,0.826,0.863,0.819,0.839,0.839,0.713,0.647,0.725,0.702,0.723,0.702
avgipae_average,rs,0.836,0.847,0.839,0.833,0.820,0.835,0.804,0.804,0.807,0.793,0.824,0.806
avgipae_average,ss,0.850,0.829,0.866,0.823,0.841,0.842,0.721,0.653,0.737,0.704,0.723,0.708
pdockq2_pmhc,rs,0.842,0.851,0.845,0.838,0.829,0.841,0.795,0.821,0.815,0.796,0.832,0.812
pdockq2_pmhc,ss,0.861,0.832,0.869,0.833,0.844,0.848,0.740,0.661,0.756,0.717,0.739,0.723
