sample_id,pae_mean,pae_min,pae_max,pae_std,pae_median,pae_p10,pae_p90,pae_frac_lt_5,pae_frac_gt_15,pae_asymmetry
v924_ss_2_n0,7.7143874,0.8,20.3,5.9075856,4.5,1.4,15.8,0.5160523186682521,0.15338882282996433,1.8991677
v985_rs_2_n0,7.699769,0.8,23.4,5.1415963,6.3,1.6,14.4,0.4251543209876543,0.07330246913580248,2.3121915
v2087_rs_1_n0,2.5992382,0.8,10.6,1.384963,2.3,1.2,4.2,0.9404432132963989,0.0,1.0441829
v1839_ss_3_n0,14.374609,0.8,29.8,11.901468,8.6,1.3,28.6,0.4013671875,0.4375,2.1558595
v1757_rs_1_n0,2.7773356,0.8,9.5,1.6357771,2.4,1.1,5.1499996,0.8901384083044983,0.0,1.2183391
v1971_ss_3_n0,2.952493,0.8,23.9,2.5044255,2.5,1.3,4.3,0.945983379501385,0.014542936288088643,1.166759
v1816_rs_2_n0,13.793388,0.8,27.8,10.905793,12.3,1.2,26.1,0.41735537190082644,0.49173553719008267,2.1380167
v524_ss_3_n0,7.8693204,0.8,21.6,6.45068,4.4,1.4,17.1,0.5491689750692521,0.2673130193905817,1.2896122
v1722_ss_3_n0,14.563138,0.8,29.9,11.309019,9.3,1.7300004,28.1,0.34438775510204084,0.4502551020408163,2.2191327
v975_ss_1_n0,12.927333,0.8,28.0,9.584253,9.45,1.9900001,24.8,0.3466666666666667,0.4388888888888889,2.1542222
v1922_ss_1_n0,4.550617,0.8,13.5,2.3844955,4.5,1.3,7.7,0.6090534979423868,0.0,1.5895748
v2087_rs_2_n0,3.2551882,0.8,12.3,1.7623116,3.0,1.2800003,5.4,0.8613406795224977,0.0,1.1131313
v977_ss_3_n0,6.6823244,0.8,18.8,3.7229533,7.0,1.7,11.3,0.3740234375,0.0146484375,2.125586
v1788_ss_1_n0,2.0444443,0.8,4.7,0.9493337,2.0,0.8,3.5,1.0,0.0,0.46419752
v397_ss_1_n0,9.491277,0.8,22.8,6.240399,8.6,1.6,17.7,0.32966023875114786,0.2662993572084481,2.4139576
v258_rs_1_n0,10.286718,0.8,24.7,7.131925,10.6,1.4,18.7,0.3671875,0.4111328125,2.7707033
v391_rs_2_n0,6.855095,0.8,20.6,4.618933,5.2,1.5,13.2,0.48520710059171596,0.030243261012491782,2.1096647
v2101_ss_0_n0,5.10666,0.8,16.8,3.162547,5.2,1.4,9.2,0.4672216441207076,0.006243496357960458,1.7138398
v314_ss_0_n0,6.8677135,0.8,19.6,3.6789823,6.9,2.1,11.719995,0.31848064280496713,0.027757487216946677,2.4837108
v729_ss_1_n0,4.312372,0.8,14.1,2.468348,4.2,1.2,7.4,0.6415816326530612,0.0,1.5665816
v667_ss_1_n0,2.1860406,0.8,5.2,0.8077842,2.1,1.2,3.2,0.996734693877551,0.0,0.4409796
