pdb_id,model_number,global_plddt,cdr1_A,cdr2_A,cdr3_A,cdr1_B,cdr2_B,cdr3_B,iptm_mean,iptm_tcrpmhc,pdockq,avgipae_pmhc,avgipae_tcr,pdockq2_pmhc,pdockq2_tcr
vdjdb_full_1,4,92.96601987,86.68365854,87.54921569,84.61385542,90.42106383,88.58022222,80.16465909,0.842,0.8675,0.39615132,0.639126,0.91875,0.509772,0.502861
vdjdb_full_10,2,91.62182905,89.45933333,85.55811321,87.14,89.76444444,87.97196078,82.40846154,0.796,0.82,0.45675124,0.585118,0.820715,0.38650033,0.3171255
vdjdb_full_10016,0,93.14739684,89.67160714,90.15341463,75.7174359,93.47057143,89.64454545,90.38254545,0.81,0.8275,0.19379908,0.62763933,0.940037,0.48180567,0.6219185
vdjdb_full_10026,4,93.2504887,89.72725,90.14545455,79.14391304,91.37425532,90.7272973,88.20305263,0.722,0.775,0.48728377,0.47302533,0.65581,0.161687,0.1481775
vdjdb_full_10031,1,92.82525912,84.19384615,85.52575758,73.45302083,93.68659574,90.70288889,86.27849057,0.81,0.8525,0.43567261,0.61573267,0.8501745,0.438784,0.339703
vdjdb_full_10032,3,94.44969814,87.21595745,89.33873016,94.68565789,94.0825,92.01,89.53616438,0.836,0.8525,0.42507236,0.63745667,0.9332625,0.522855,0.6946295
vdjdb_full_10092,3,94.31512846,90.09979167,90.86038462,95.2745679,94.31425,92.56783784,94.72247312,0.812,0.835,0.47654757,0.62281767,0.9428175,0.46686033,0.750778
vdjdb_full_10103,2,93.9841132,90.96866667,91.09924528,91.17016667,91.49117647,91.48918367,90.799375,0.788,0.8075,0.54164551,0.56485633,0.8691615,0.29866467,0.5041245
vdjdb_full_10117,4,92.60686683,80.624,83.36105263,82.46897727,86.59484848,86.94843137,78.35173913,0.674,0.7275,0.42888692,0.38045033,0.5818715,0.06498333,0.077592
vdjdb_full_10146,4,93.42395825,87.96159091,90.48543478,86.911875,90.123125,87.48170213,77.48770833,0.8,0.7975,0.41557997,0.57961067,0.8082585,0.32789667,0.349953
