pdb_id,model_number,global_plddt,cdr1_A,cdr2_A,cdr3_A,cdr1_B,cdr2_B,cdr3_B,iptm_mean,iptm_tcrpmhc,pdockq,avgipae_pmhc,avgipae_tcr,pdockq2_pmhc,pdockq2_tcr
vdjdb_full_10016_rs_0_n0_iptm_filtered,0,90.16884952,74.65875,73.22985714,72.62357143,81.37418605,72.9446,71.01309524,0.452,0.54,0.18223289,0.090129,0.1658365,0.00955867,0.009742
vdjdb_full_10016_rs_1_n0_iptm_filtered,2,91.30486813,82.34425532,77.55741379,73.23934066,83.12319149,80.54764706,77.8488172,0.404,0.5025,0.16903315,0.03697667,0.1289145,0.008247,0.009363
vdjdb_full_10016_rs_2_n0_iptm_filtered,4,90.75353204,65.99581395,72.11508772,66.50077778,84.7293617,76.92222222,78.57692308,0.426,0.525,0.34351901,0.071593,0.1259965,0.00895967,0.009206
vdjdb_full_10016_rs_3_n0_iptm_filtered,2,92.39800451,85.273,77.56314286,91.59866667,87.42051282,82.06,85.46151163,0.628,0.67,0.32697585,0.37589067,0.6282415,0.05649167,0.1053255
vdjdb_full_10016_rs_4_n0_iptm_filtered,1,92.58639831,86.3772,82.71323077,81.28649123,89.659375,87.01703704,81.3312766,0.652,0.6975,0.35898073,0.37708667,0.575813,0.05776833,0.0740015
vdjdb_full_10016_ss_0_n0_iptm_filtered,4,92.04223673,74.405,82.29347826,75.37658228,82.05152174,80.21235294,81.46719512,0.556,0.63,0.27652365,0.42240567,0.5673585,0.07337933,0.0590845
vdjdb_full_10016_ss_1_n0_iptm_filtered,4,92.49951348,81.14431818,91.76304348,68.29672414,90.6025,88.48092593,80.31344086,0.76,0.7725,0.38060361,0.571457,0.779299,0.29026067,0.2176535
vdjdb_full_10016_ss_2_n0_iptm_filtered,0,91.79438074,74.78022222,80.79052632,79.40806452,86.14323529,86.45795918,80.52753425,0.53,0.62,0.42246096,0.107015,0.2249725,0.010244,0.0134635
vdjdb_full_10016_ss_3_n0_iptm_filtered,2,91.5603163,71.89954545,69.44742857,83.77114286,83.86738095,74.7322449,77.20612903,0.564,0.63,0.22268175,0.18510133,0.3209955,0.01491467,0.0174595
vdjdb_full_10016_ss_4_n0_iptm_filtered,1,91.29447598,72.23590909,85.83195122,74.66578313,86.23744186,72.4542,78.78153846,0.424,0.5175,0.22665071,0.07682233,0.133918,0.00910767,0.0094765
vdjdb_full_10026_rs_0_n0_iptm_filtered,3,91.42854717,76.52351351,80.00258065,84.00520833,80.76409091,85.37333333,82.85117647,0.592,0.665,0.36283981,0.17183533,0.3861255,0.01401067,0.0272705
vdjdb_full_10026_rs_1_n0_iptm_filtered,0,89.92455025,76.61361702,77.12982759,60.05794118,80.4915,79.08979592,64.27355556,0.432,0.55,0.22054929,0.086179,0.155268,0.00931933,0.009769
vdjdb_full_10026_rs_2_n0_iptm_filtered,2,91.5456102,76.81113636,81.24521739,83.41918919,82.11945946,82.03065217,76.56102564,0.566,0.645,0.35991387,0.213263,0.321676,0.01768333,0.0198865
vdjdb_full_10026_rs_3_n0_iptm_filtered,0,90.00106802,70.7945,70.45228571,76.50371429,76.15978723,77.3506383,69.21918367,0.424,0.53,0.19147118,0.09162833,0.1571515,0.00951533,0.0100245
vdjdb_full_10026_rs_4_n0_iptm_filtered,2,93.54923837,86.25522727,93.49304348,86.36538462,85.69106383,88.48970588,85.48760563,0.784,0.785,0.47237425,0.57176867,0.8315415,0.322413,0.3255435
vdjdb_full_10026_ss_0_n0_iptm_filtered,0,89.82540044,72.96142857,73.53170732,63.23484536,83.34787234,77.39266667,66.3888785,0.38,0.4925,0.19654612,0.06759267,0.1113905,0.008827,0.008902
vdjdb_full_10026_ss_1_n0_iptm_filtered,2,90.69416397,70.76692308,81.70652174,72.66972973,78.84710526,76.7025,70.99935484,0.412,0.5125,0.2697588,0.093124,0.1616205,0.00947867,0.009843
vdjdb_full_10026_ss_2_n0_iptm_filtered,0,90.57211279,79.94540541,76.87741935,71.50096386,77.54775,75.20540541,78.79447059,0.406,0.5,0.20998398,0.07916667,0.1374915,0.00908133,0.009651
vdjdb_full_10026_ss_3_n0_iptm_filtered,4,89.52893233,73.9805,69.15828571,70.964,84.85581395,75.511,69.0721,0.448,0.545,0.34911291,0.08712833,0.1616555,0.00936233,0.010129
vdjdb_full_10026_ss_4_n0_iptm_filtered,0,91.91567998,81.68266667,80.06415094,72.31643678,82.64272727,88.14176471,70.43816092,0.614,0.705,0.29245943,0.15763567,0.3234355,0.013022,0.0169185
vdjdb_full_10031_rs_0_n0_iptm_filtered,4,92.00718901,84.94916667,88.29933333,78.27034483,88.37510638,86.48066667,70.68173077,0.696,0.745,0.31006888,0.40184667,0.602069,0.079734,0.068415
vdjdb_full_10031_rs_1_n0_iptm_filtered,0,94.18094647,85.01795455,95.20152174,86.06910256,94.04025641,91.40804348,91.65060976,0.762,0.7625,0.23837602,0.54911633,0.888472,0.305793,0.577209
vdjdb_full_10031_rs_2_n0_iptm_filtered,2,90.38079352,78.16277778,83.8816,61.52515789,82.6225641,75.35543478,69.02292683,0.388,0.495,0.29760883,0.07166833,0.1204785,0.00898267,0.009109
vdjdb_full_10031_rs_3_n0_iptm_filtered,0,91.9114504,79.11425,84.2409434,82.66225,80.04189189,80.43891304,75.9859375,0.502,0.5825,0.16869642,0.06017767,0.215036,0.00918767,0.01244
vdjdb_full_10031_rs_4_n0_iptm_filtered,2,91.27728175,78.47166667,73.38342857,78.20815789,83.07323529,82.33346939,80.30371429,0.496,0.5875,0.34380652,0.104007,0.195965,0.01002767,0.0118055
vdjdb_full_10031_ss_0_n0_iptm_filtered,2,89.92645265,64.81571429,80.12746032,66.45371795,83.3806383,75.89955556,74.17152174,0.41,0.515,0.17016181,0.08962167,0.146725,0.00946767,0.009706
vdjdb_full_10031_ss_1_n0_iptm_filtered,1,90.31727586,66.24475,78.38218182,63.4172,79.66957447,77.07044444,67.87920455,0.408,0.51,0.2578588,0.07975367,0.1373835,0.00914133,0.0092475
vdjdb_full_10031_ss_2_n0_iptm_filtered,4,91.92279322,81.06386364,87.88347826,74.194,83.1,81.27235294,73.9094,0.64,0.675,0.25483984,0.274502,0.499816,0.027879,0.0581495
vdjdb_full_10031_ss_3_n0_iptm_filtered,3,89.80190235,74.93975,70.43228571,73.42146667,85.6472093,74.424,71.0734,0.454,0.5475,0.3364988,0.09209933,0.1791875,0.00946133,0.0107695
vdjdb_full_10031_ss_4_n0_iptm_filtered,4,92.31967722,83.94777778,88.0758,71.03280899,90.59361702,87.24466667,87.94789474,0.576,0.6675,0.42056705,0.16135533,0.2923775,0.013394,0.019423
vdjdb_full_10032_rs_0_n0_iptm_filtered,2,93.35100588,86.28075,93.66953488,81.33770115,92.47628571,86.64064516,80.18709091,0.712,0.725,0.4103325,0.53168367,0.7363845,0.22234567,0.1548535
vdjdb_full_10032_rs_1_n0_iptm_filtered,2,90.99067557,75.77513514,79.43225806,62.19035088,88.79340426,84.20777778,83.12521739,0.516,0.6025,0.37769136,0.10820667,0.203363,0.010241,0.0120175
vdjdb_full_10032_rs_2_n0_iptm_filtered,4,94.03566546,89.37545455,90.02290323,88.45273585,90.3782,90.83021739,92.2246,0.806,0.8225,0.44196989,0.62073133,0.9135875,0.47997033,0.595518
vdjdb_full_10032_rs_3_n0_iptm_filtered,2,90.12847839,74.6835,73.87085714,72.06333333,78.48090909,76.70732143,70.60584158,0.41,0.51,0.23474184,0.07400433,0.126414,0.008988,0.009088
vdjdb_full_10032_rs_4_n0_iptm_filtered,0,89.92455025,76.61361702,77.12982759,60.05794118,80.4915,79.08979592,64.27355556,0.432,0.55,0.22054929,0.086179,0.155268,0.00931933,0.009769
vdjdb_full_10032_ss_0_n0_iptm_filtered,2,91.47837821,77.96410714,77.91097561,74.24157303,83.32886364,82.26857143,84.84819444,0.588,0.6625,0.31338007,0.13699933,0.2658745,0.011734,0.0159065
vdjdb_full_10032_ss_1_n0_iptm_filtered,2,93.03347568,79.66136364,89.075,82.67645161,89.82818182,89.87941176,82.24377778,0.756,0.795,0.47445375,0.56818533,0.8116685,0.280111,0.2612405
vdjdb_full_10032_ss_2_n0_iptm_filtered,1,90.42237666,78.89243243,78.56919355,70.40409639,82.09765957,78.48529412,72.45170455,0.412,0.5125,0.23098516,0.07330767,0.123081,0.009083,0.0090435
vdjdb_full_10032_ss_3_n0_iptm_filtered,4,91.56677798,76.99225806,73.44457143,85.65419753,82.72276596,79.76676471,79.53420455,0.424,0.52,0.23683637,0.08246067,0.143638,0.00926467,0.0102085
vdjdb_full_10032_ss_4_n0_iptm_filtered,4,92.37221679,81.21375,89.76651163,76.65125,81.4048,80.13173913,83.63142857,0.54,0.5925,0.33078633,0.131811,0.289163,0.011196,0.016858
vdjdb_full_10092_rs_0_n0_iptm_filtered,0,91.40140221,78.81489362,77.38706897,74.68956044,81.04893617,75.14088235,75.997625,0.428,0.5225,0.21702695,0.10600233,0.1910555,0.009819,0.0104995
vdjdb_full_10092_rs_1_n0_iptm_filtered,1,90.98389752,70.97193548,71.99657143,79.28666667,78.26363636,81.88,80.68153846,0.498,0.585,0.28733304,0.09337367,0.178493,0.009719,0.011051
vdjdb_full_10092_rs_2_n0_iptm_filtered,4,92.11323841,84.9455,88.01072727,77.3136,87.21615385,83.51023256,82.38634146,0.68,0.7175,0.47260997,0.44519333,0.6326145,0.10303533,0.0925145
vdjdb_full_10092_rs_3_n0_iptm_filtered,0,93.58252037,84.34909091,93.85717391,86.25546875,93.4459375,89.01170213,86.45302083,0.788,0.805,0.45934562,0.578296,0.872205,0.329477,0.4207425
vdjdb_full_10092_rs_4_n0_iptm_filtered,3,90.49389169,77.31826923,75.94484848,74.89078652,78.01840909,76.49017857,78.04788462,0.402,0.5025,0.12415809,0.03890667,0.1302865,0.00828533,0.009426
vdjdb_full_10092_ss_0_n0_iptm_filtered,1,92.14381659,78.83522727,86.21891304,71.50814433,84.81411765,86.28122449,84.60324324,0.692,0.7325,0.39382108,0.45765367,0.696563,0.120082,0.140325
vdjdb_full_10092_ss_1_n0_iptm_filtered,2,90.12847839,74.6835,73.87085714,72.06333333,78.48090909,76.70732143,70.60584158,0.41,0.51,0.23474184,0.07400433,0.126414,0.008988,0.009088
vdjdb_full_10092_ss_2_n0_iptm_filtered,4,90.98607887,83.11422222,82.04275862,74.89641026,84.06542857,83.04216667,69.35368421,0.57,0.625,0.20074241,0.13771167,0.2342685,0.01229233,0.014842
vdjdb_full_10092_ss_3_n0_iptm_filtered,4,92.22302478,82.74808511,81.80068966,74.03197802,85.84042553,80.87029412,81.24611765,0.48,0.5725,0.18242127,0.05828933,0.202941,0.00912233,0.011665
vdjdb_full_10092_ss_4_n0_iptm_filtered,4,91.70593763,76.39571429,79.08804878,80.28614286,82.91553191,78.60361702,82.75662791,0.42,0.525,0.23423071,0.076202,0.123541,0.00911467,0.0097935
vdjdb_full_10103_rs_0_n0_iptm_filtered,4,91.59480583,68.17976744,73.81140351,79.37989796,79.0682,82.31152174,75.15604396,0.442,0.535,0.17484655,0.088841,0.186555,0.009336,0.010858
vdjdb_full_10103_rs_1_n0_iptm_filtered,0,91.37672863,73.06477273,80.3983871,71.31785714,82.29121212,78.32388889,75.40261905,0.45,0.545,0.30829484,0.094575,0.1782995,0.00954967,0.0107035
vdjdb_full_10103_rs_2_n0_iptm_filtered,4,95.28130533,95.94775,97.61023256,95.25666667,94.88846154,95.39108696,94.44086207,0.854,0.8625,0.43466535,0.61645667,0.965199,0.47286667,0.842672
vdjdb_full_10103_rs_3_n0_iptm_filtered,3,91.45149667,74.64984375,72.444,68.53728571,84.1878125,83.14740741,74.46417722,0.522,0.6075,0.16789865,0.118742,0.252592,0.01061067,0.014083
vdjdb_full_10103_rs_4_n0_iptm_filtered,2,91.09993065,72.63318182,81.67434783,70.63942029,81.11176471,79.42314815,78.10977528,0.418,0.52,0.31813803,0.08804,0.158871,0.00937333,0.01025
vdjdb_full_10103_ss_0_n0_iptm_filtered,2,89.92645265,64.81571429,80.12746032,66.45371795,83.3806383,75.89955556,74.17152174,0.41,0.515,0.17016181,0.08962167,0.146725,0.00946767,0.009706
vdjdb_full_10103_ss_1_n0_iptm_filtered,4,94.27343969,90.3238,84.63215385,92.06407407,91.305,94.48666667,90.22401869,0.824,0.8575,0.404893,0.634915,0.943552,0.52332367,0.693643
vdjdb_full_10103_ss_2_n0_iptm_filtered,4,93.04931537,87.96725,86.85771429,83.07945205,89.51772727,88.84982143,88.14073171,0.796,0.815,0.47230132,0.59699567,0.885359,0.36440867,0.4711395
vdjdb_full_10103_ss_3_n0_iptm_filtered,0,91.73204669,68.89511628,76.23192982,78.6936,84.83818182,82.81392857,85.76160714,0.562,0.6375,0.27242089,0.155482,0.298018,0.012386,0.017891
vdjdb_full_10103_ss_4_n0_iptm_filtered,4,90.58125076,78.49333333,85.07955556,62.67393939,85.00285714,77.20344828,80.65292135,0.446,0.5375,0.27886073,0.09482667,0.1731475,0.00965867,0.0107075
vdjdb_full_10117_rs_0_n0_iptm_filtered,1,89.36941188,64.215,60.742,60.75075472,84.69764706,83.10142857,72.2664,0.446,0.5625,0.28754918,0.09996233,0.173055,0.00976467,0.0101325
vdjdb_full_10117_rs_1_n0_iptm_filtered,2,93.22721741,86.42866667,81.25,87.34222222,90.90404255,86.67066667,88.56892857,0.71,0.745,0.37780305,0.45412667,0.722401,0.13697367,0.2133895
vdjdb_full_10117_rs_2_n0_iptm_filtered,2,89.57364358,74.70840909,80.6773913,76.68983607,84.50783784,64.97185185,73.35123596,0.386,0.4925,0.29183404,0.06585667,0.1050725,0.008843,0.009049
vdjdb_full_10117_rs_3_n0_iptm_filtered,2,90.57799106,70.20840909,80.69630435,68.97133333,80.26075,79.08285714,70.98769231,0.436,0.53,0.30756869,0.08965667,0.1702195,0.009402,0.010209
vdjdb_full_10117_rs_4_n0_iptm_filtered,0,93.58976901,82.14704545,93.95282609,81.74265625,91.24511628,91.97344828,92.52549296,0.786,0.805,0.49823707,0.598955,0.8956595,0.385002,0.557075
vdjdb_full_10117_ss_0_n0_iptm_filtered,2,93.0820927,88.76066667,82.18742857,86.84970297,91.62976744,89.089,89.115,0.78,0.805,0.37558497,0.60306,0.859464,0.409404,0.378875
vdjdb_full_10117_ss_1_n0_iptm_filtered,0,90.71821766,73.58225806,72.45171429,68.7008642,82.25131579,78.89517857,78.43150538,0.428,0.5225,0.23004678,0.07917333,0.1343805,0.00912767,0.009555
vdjdb_full_10117_ss_2_n0_iptm_filtered,1,91.9559568,75.86333333,83.9175,70.19793103,87.0269697,85.99941176,78.96391304,0.55,0.6375,0.23132703,0.16008333,0.2936535,0.01282733,0.015273
vdjdb_full_10117_ss_3_n0_iptm_filtered,0,91.61402873,81.21875,85.16849057,81.67878788,62.78818182,82.01901961,77.00896104,0.566,0.6275,0.19175174,0.30383567,0.4746065,0.02798433,0.035721
vdjdb_full_10117_ss_4_n0_iptm_filtered,0,91.18401621,78.05355556,78.57075472,72.80230769,83.21893617,77.00844444,64.35270833,0.382,0.49,0.12095853,0.06826633,0.111775,0.00895933,0.0090565
vdjdb_full_10146_rs_0_n0_iptm_filtered,2,92.26168395,82.62075,88.6844186,76.87763441,86.27771429,81.67419355,79.87111111,0.59,0.6475,0.1609394,0.29755233,0.512773,0.02798967,0.0459985
vdjdb_full_10146_rs_1_n0_iptm_filtered,1,90.25436293,75.24233333,77.89242424,70.82564706,78.4175,78.15285714,73.76390805,0.46,0.55,0.34858654,0.087249,0.1574315,0.00946367,0.0102465
vdjdb_full_10146_rs_2_n0_iptm_filtered,2,91.15944569,80.16638889,86.70377778,68.161125,85.12914894,79.77466667,78.70268293,0.52,0.5975,0.41732821,0.10929333,0.2306905,0.01018033,0.012774
vdjdb_full_10146_rs_3_n0_iptm_filtered,2,92.17437019,84.43288889,84.85188679,82.92047619,81.36931818,82.49535714,78.99505618,0.548,0.6175,0.38750541,0.10753567,0.236662,0.01019067,0.014216
vdjdb_full_10146_rs_4_n0_iptm_filtered,1,90.3547909,60.02511111,72.33017544,68.15114286,75.9015,77.26689655,79.70520548,0.41,0.51,0.23662689,0.07844467,0.1393635,0.00910033,0.0095955
vdjdb_full_10146_ss_0_n0_iptm_filtered,4,91.00103133,74.53,75.81943396,75.22161765,80.8196875,78.72808511,70.04287234,0.458,0.56,0.29860429,0.105798,0.1918715,0.00983167,0.01113
vdjdb_full_10146_ss_1_n0_iptm_filtered,0,92.85030272,84.21584906,86.28388889,84.65189873,86.27318182,90.09568627,85.07277108,0.722,0.7725,0.40344853,0.480664,0.6802195,0.163158,0.1233925
vdjdb_full_10146_ss_2_n0_iptm_filtered,0,91.81762927,78.05173913,83.55884615,66.75470588,87.41457143,84.18983871,81.2408642,0.556,0.62,0.22569766,0.129818,0.2337115,0.011389,0.0131185
vdjdb_full_10146_ss_3_n0_iptm_filtered,3,89.32629839,71.23190476,78.73111111,68.90666667,82.34742857,72.31896552,73.37042553,0.376,0.4925,0.39640702,0.06898467,0.113853,0.009023,0.0089975
vdjdb_full_10146_ss_4_n0_iptm_filtered,2,91.9462543,82.76386364,89.39804348,80.70118421,82.26681818,82.12839286,81.70752809,0.698,0.735,0.38717283,0.41089133,0.6194705,0.08249133,0.079151
vdjdb_full_10155_rs_0_n0_iptm_filtered,3,93.1103214,90.04808511,85.99913793,87.35792683,89.83382979,89.68621622,79.95490566,0.708,0.745,0.41869481,0.28272933,0.516121,0.03716233,0.0927725
vdjdb_full_10155_rs_1_n0_iptm_filtered,0,91.73554178,81.98285714,80.74243902,82.14404255,82.16113636,80.54321429,78.38553191,0.516,0.6075,0.21784092,0.18775133,0.313311,0.014135,0.017093
vdjdb_full_10155_rs_2_n0_iptm_filtered,4,92.88466039,73.46181818,86.06782609,72.13416667,90.7759375,90.19175,86.4522619,0.718,0.76,0.48737642,0.496096,0.6713745,0.16845933,0.152571
vdjdb_full_10155_rs_3_n0_iptm_filtered,3,94.22339919,90.52162791,88.97157895,88.18112245,89.2426,92.57586957,89.86,0.808,0.835,0.37906849,0.62467733,0.8809035,0.46299633,0.500408
vdjdb_full_10155_rs_4_n0_iptm_filtered,1,93.54479209,89.13363636,92.68717391,86.156,89.98914894,91.855,82.4322,0.76,0.765,0.4543708,0.551844,0.7996035,0.28652333,0.28151
vdjdb_full_10155_ss_0_n0_iptm_filtered,2,90.67208258,76.2605,79.59396226,74.13153061,75.55681818,78.97098039,71.01431373,0.456,0.5475,0.12678547,0.130752,0.2522555,0.01066733,0.0128395
vdjdb_full_10155_ss_1_n0_iptm_filtered,3,92.1309826,82.93276596,81.54327586,75.63549451,85.53276596,79.93088235,82.03862069,0.448,0.535,0.22695197,0.053492,0.210723,0.008824,0.011842
vdjdb_full_10155_ss_2_n0_iptm_filtered,4,91.57907056,80.4176,76.25461538,74.52423529,83.09228571,77.80322581,68.75103774,0.536,0.605,0.26511698,0.16296467,0.310081,0.01317567,0.0144135
vdjdb_full_10155_ss_3_n0_iptm_filtered,4,91.3498939,81.18893617,78.64051724,74.05087912,81.98765957,80.01705882,74.395,0.412,0.5075,0.2802581,0.07949733,0.1370755,0.00920933,0.009373
vdjdb_full_10155_ss_4_n0_iptm_filtered,3,90.46971567,78.51787234,78.035,73.93241758,78.83136364,81.74,70.03877551,0.422,0.525,0.24296643,0.07604033,0.1270105,0.009203,0.009955
vdjdb_full_10163_rs_0_n0_iptm_filtered,2,94.21978101,86.2175,95.16195652,87.35414286,92.5006383,91.66235294,90.334,0.804,0.815,0.59397118,0.632805,0.906442,0.526879,0.5860715
vdjdb_full_10163_rs_1_n0_iptm_filtered,2,92.36702102,79.546,89.51162791,73.60094595,81.11,79.9776087,82.83722892,0.512,0.575,0.28325096,0.11745667,0.272414,0.01047533,0.015055
vdjdb_full_10163_rs_2_n0_iptm_filtered,4,92.92465972,79.974,83.02105263,87.33984848,88.79810811,90.06152174,69.68694118,0.752,0.8025,0.51072182,0.44625667,0.733028,0.13188367,0.1735345
vdjdb_full_10163_rs_3_n0_iptm_filtered,2,91.43437677,76.91625,80.42961538,80.18858974,83.74894737,78.40160714,81.17870968,0.468,0.5575,0.22203747,0.12887967,0.244192,0.01079033,0.0138185
vdjdb_full_10163_rs_4_n0_iptm_filtered,4,90.97593801,78.2532,73.21984615,75.75217822,81.39914894,78.42027027,82.78,0.41,0.5075,0.35278489,0.07853167,0.134685,0.00904433,0.0097915
vdjdb_full_10163_ss_0_n0_iptm_filtered,3,95.12719373,93.32,94.69622642,86.47616438,96.2096875,95.67333333,95.21709302,0.878,0.8925,0.52863561,0.65110467,0.956107,0.591967,0.7846625
vdjdb_full_10163_ss_1_n0_iptm_filtered,3,93.1526437,89.56945946,88.29419355,90.1513253,89.78567568,91.12173913,79.51295918,0.796,0.8325,0.53532948,0.569006,0.8217165,0.339992,0.333578
vdjdb_full_10163_ss_2_n0_iptm_filtered,4,90.50159276,71.61909091,81.04282609,68.72302326,76.58405405,78.76391304,73.15928571,0.418,0.5075,0.27633468,0.09273867,0.160634,0.009444,0.009949
vdjdb_full_10163_ss_3_n0_iptm_filtered,4,93.6266336,81.6425,95.74565217,74.01610169,93.03212766,92.59621622,93.58044944,0.818,0.835,0.28695585,0.64029833,0.953336,0.53457033,0.7191395
vdjdb_full_10163_ss_4_n0_iptm_filtered,3,92.00836356,78.36975,83.98488372,74.47868421,80.5062,79.75391304,82.50977011,0.47,0.5475,0.23706026,0.10870933,0.211238,0.01007167,0.0120015
vdjdb_full_10204_rs_0_n0_iptm_filtered,0,89.62050728,80.83162162,79.47677419,69.37736842,79.61368421,76.55964286,74.00017241,0.39,0.4925,0.10939075,0.03680167,0.062429,0.00823467,0.008363
vdjdb_full_10204_rs_1_n0_iptm_filtered,1,91.13708773,83.7816,74.54846154,79.86085106,78.14351351,80.46065217,75.72637681,0.538,0.615,0.42752901,0.11718567,0.2425385,0.01045633,0.014063
vdjdb_full_10204_rs_2_n0_iptm_filtered,2,91.15734028,78.58066667,76.86442857,80.58020408,84.36512821,79.03478261,70.885625,0.504,0.585,0.2903347,0.12459467,0.214144,0.01100267,0.0114715
vdjdb_full_10204_rs_3_n0_iptm_filtered,2,90.23512503,69.13711111,78.36684211,72.24842105,85.4497561,72.52033333,79.52855556,0.436,0.53,0.42674836,0.07542733,0.1314765,0.00915967,0.009601
vdjdb_full_10204_rs_4_n0_iptm_filtered,1,93.30619301,85.359,88.47314286,88.65466667,86.53756757,86.27222222,89.43090909,0.788,0.8025,0.36153177,0.60586133,0.9091265,0.372234,0.511751
vdjdb_full_10204_ss_0_n0_iptm_filtered,4,90.62887103,72.5855,81.22714286,65.15293103,83.80744681,74.68351351,79.93107143,0.404,0.505,0.21798036,0.077316,0.1295725,0.00910367,0.0091755
vdjdb_full_10204_ss_1_n0_iptm_filtered,3,92.72682767,79.70863636,89.32891304,83.57027778,86.81489362,87.15972973,80.110875,0.678,0.715,0.49355951,0.341442,0.5407925,0.050364,0.0648075
vdjdb_full_10204_ss_2_n0_iptm_filtered,2,92.20509666,78.558125,73.34428571,79.93214286,86.3609375,85.56277778,78.66076923,0.538,0.61,0.41371958,0.122516,0.2968605,0.01069067,0.0168665
vdjdb_full_10204_ss_3_n0_iptm_filtered,3,91.9524412,83.30795455,89.58869565,76.61774648,90.29228571,88.415,79.94395833,0.702,0.7375,0.33722673,0.46030167,0.6140635,0.13086633,0.1090565
vdjdb_full_10204_ss_4_n0_iptm_filtered,2,93.43827319,89.44318182,90.24673913,84.94928571,89.29553191,90.75970588,81.8434,0.75,0.755,0.46851105,0.55673333,0.780122,0.29251867,0.253342
vdjdb_full_10213_rs_0_n0_iptm_filtered,4,89.71863535,75.42235294,70.76093023,69.0922619,80.67153846,78.90217391,61.49473684,0.41,0.5225,0.33327338,0.07358533,0.121649,0.00911067,0.0092175
vdjdb_full_10213_rs_1_n0_iptm_filtered,2,90.30542107,62.69595745,76.32222222,72.38881356,81.49166667,75.67648649,70.9353012,0.44,0.53,0.19922255,0.09373233,0.1638585,0.00971767,0.0098295
vdjdb_full_10213_rs_2_n0_iptm_filtered,4,90.30180261,77.56864865,75.1633871,68.71933333,79.52851064,75.79977778,76.0222973,0.42,0.5175,0.20228075,0.05345433,0.2112775,0.008743,0.0115425
vdjdb_full_10213_rs_3_n0_iptm_filtered,3,90.68877505,75.31136364,81.18478261,73.13606557,69.30553191,76.82617021,70.54763889,0.416,0.5075,0.13311729,0.041008,0.1312275,0.00835667,0.009686
vdjdb_full_10213_rs_4_n0_iptm_filtered,2,90.06087027,67.69564103,82.02826087,71.92176471,75.74659091,75.79517857,70.02477273,0.428,0.53,0.31320434,0.082594,0.142496,0.00933667,0.009747
vdjdb_full_10213_ss_0_n0_iptm_filtered,1,92.70174447,84.3144,80.01738462,79.46967033,82.6918,85.59369565,78.93255319,0.578,0.645,0.32347576,0.16378033,0.3372825,0.01313267,0.0189995
vdjdb_full_10213_ss_1_n0_iptm_filtered,4,90.07523206,72.48980392,70.41023256,73.61898305,74.24810811,79.44086957,62.5327907,0.408,0.52,0.26411153,0.07461133,0.133389,0.00900267,0.0095365
vdjdb_full_10213_ss_2_n0_iptm_filtered,3,90.72128745,79.03490566,81.93018519,67.33723684,83.84945946,83.73777778,73.15705882,0.53,0.6225,0.23133739,0.119319,0.2440065,0.01063333,0.013667
vdjdb_full_10213_ss_3_n0_iptm_filtered,1,89.9255235,70.48536585,80.87960784,57.02962963,74.62090909,71.83964286,74.65,0.404,0.5075,0.16056758,0.08103733,0.132765,0.00926333,0.0093255
vdjdb_full_10213_ss_4_n0_iptm_filtered,2,89.90390631,67.97714286,78.54777778,69.5853125,79.66702128,75.30688889,65.44022727,0.398,0.505,0.20812936,0.080728,0.1372275,0.00924567,0.0093555
vdjdb_full_10239_rs_0_n0_iptm_filtered,2,89.67356081,72.20204545,76.49891304,66.26911111,83.50787234,79.17705882,70.5659,0.398,0.495,0.1589605,0.07183367,0.1202635,0.008967,0.0090815
vdjdb_full_10239_rs_1_n0_iptm_filtered,1,90.68992997,76.7455,75.91571429,71.1262069,77.87340426,76.57787234,70.12161616,0.426,0.52,0.31178858,0.07658467,0.130106,0.00908433,0.009161
vdjdb_full_10239_rs_2_n0_iptm_filtered,2,92.64832275,84.60446809,82.90327586,76.2489011,86.45170213,83.56,79.586,0.552,0.6225,0.26132276,0.09337367,0.310923,0.01171033,0.017101
vdjdb_full_10239_rs_3_n0_iptm_filtered,3,91.38416616,82.02957447,80.04034483,78.64647059,79.15318182,79.93901961,74.96572917,0.47,0.56,0.19752708,0.110301,0.196882,0.010047,0.0111535
