pdb_id,model_number,global_plddt,cdr1_A,cdr2_A,cdr3_A,cdr1_B,cdr2_B,cdr3_B,iptm_mean,iptm_tcrpmhc,pdockq,avgipae_pmhc,avgipae_tcr,pdockq2_pmhc,pdockq2_tcr
vdjdb_full_10016_rs_0_n0_iptm_filtered,0,90.16884952,74.65875,73.22985714,72.62357143,81.37418605,72.9446,71.01309524,0.452,0.54,0.18223289,0.090129,0.1658365,0.00955867,0.009742
vdjdb_full_10016_rs_0_n0_iptm_filtered,1,89.99214769,73.12671875,71.14957143,72.24119048,81.68674419,72.8218,70.80928571,0.42,0.525,0.17127464,0.08161067,0.1450765,0.00923733,0.0093515
vdjdb_full_10016_rs_0_n0_iptm_filtered,2,89.93299164,74.00640625,72.46985714,71.61071429,81.57488372,72.6012,71.80428571,0.432,0.5275,0.21764156,0.08342633,0.1505405,0.00928167,0.009521
vdjdb_full_10016_rs_0_n0_iptm_filtered,3,89.86355295,73.32671875,71.31542857,71.86619048,81.29511628,72.6814,69.66,0.408,0.51,0.19243511,0.07980267,0.1405655,0.00915833,0.009153
vdjdb_full_10016_rs_0_n0_iptm_filtered,4,90.02285629,73.19671875,72.25614286,71.17261905,81.21674419,72.7224,70.13404762,0.442,0.535,0.18716234,0.08751233,0.1592525,0.00941467,0.009696
vdjdb_full_10016_rs_1_n0_iptm_filtered,0,91.32711715,82.5012766,77.69948276,74.56593407,83.38234043,81.87794118,77.79021505,0.398,0.5,0.16036406,0.03690467,0.120868,0.00823333,0.0092385
vdjdb_full_10016_rs_1_n0_iptm_filtered,1,91.05683909,81.34382979,76.33689655,73.84538462,81.52212766,77.52352941,76.24602151,0.392,0.4925,0.26307188,0.07207433,0.121433,0.00892233,0.00914
vdjdb_full_10016_rs_1_n0_iptm_filtered,2,91.30486813,82.34425532,77.55741379,73.23934066,83.12319149,80.54764706,77.8488172,0.404,0.5025,0.16903315,0.03697667,0.1289145,0.008247,0.009363
vdjdb_full_10016_rs_1_n0_iptm_filtered,3,91.22746064,82.51340426,77.25413793,73.8343956,81.95425532,80.34764706,76.98870968,0.386,0.4875,0.148007,0.03714667,0.115257,0.008217,0.009272
vdjdb_full_10016_rs_1_n0_iptm_filtered,4,91.10787365,81.20085106,75.85051724,73.50142857,81.52425532,79.93823529,76.55903226,0.39,0.49,0.24757478,0.069067,0.1111345,0.00894367,0.0090275
vdjdb_full_10016_rs_2_n0_iptm_filtered,0,90.70270479,67.03813953,72.28403509,68.238,84.57191489,76.07311111,78.27807692,0.41,0.5075,0.26451285,0.068863,0.117712,0.00889233,0.0090155
vdjdb_full_10016_rs_2_n0_iptm_filtered,1,90.56388281,66.87697674,70.77842105,67.60755556,84.24723404,75.54333333,78.42564103,0.414,0.5125,0.21342706,0.068724,0.1177755,0.008861,0.009029
vdjdb_full_10016_rs_2_n0_iptm_filtered,2,90.61849554,65.29186047,71.6354386,65.007,84.40276596,75.62688889,78.20397436,0.406,0.51,0.25824823,0.06881133,0.117433,0.00888967,0.00894
vdjdb_full_10016_rs_2_n0_iptm_filtered,3,90.56779603,65.40186047,72.55263158,66.97433333,84.19042553,75.56822222,77.65217949,0.406,0.5075,0.22933261,0.06922767,0.1191875,0.008911,0.0090175
vdjdb_full_10016_rs_2_n0_iptm_filtered,4,90.75353204,65.99581395,72.11508772,66.50077778,84.7293617,76.92222222,78.57692308,0.426,0.525,0.34351901,0.071593,0.1259965,0.00895967,0.009206
vdjdb_full_10016_rs_3_n0_iptm_filtered,0,92.29458983,83.64775,76.14685714,90.75377778,88.00974359,81.12608696,85.37825581,0.61,0.6525,0.26837231,0.36044567,0.5822505,0.04995067,0.0846455
vdjdb_full_10016_rs_3_n0_iptm_filtered,1,92.29099057,82.24075,75.05485714,91.05266667,87.84358974,80.9473913,85.68255814,0.586,0.6375,0.25428789,0.315385,0.553824,0.03288233,0.0673785
vdjdb_full_10016_rs_3_n0_iptm_filtered,2,92.39800451,85.273,77.56314286,91.59866667,87.42051282,82.06,85.46151163,0.628,0.67,0.32697585,0.37589067,0.6282415,0.05649167,0.1053255
vdjdb_full_10016_rs_3_n0_iptm_filtered,3,92.37886382,83.40075,75.85485714,91.16222222,88.09538462,81.41195652,85.96290698,0.604,0.65,0.29998846,0.368266,0.6070795,0.052183,0.091085
vdjdb_full_10016_rs_3_n0_iptm_filtered,4,92.11103158,83.0325,76.12885714,90.86244444,86.53282051,81.08347826,83.71081395,0.594,0.64,0.32333227,0.34510967,0.5761165,0.04162567,0.0748555
vdjdb_full_10016_rs_4_n0_iptm_filtered,0,92.33524794,85.661,81.85646154,80.71245614,89.1575,86.21259259,81.41617021,0.64,0.6825,0.3212638,0.35102167,0.5541555,0.04458,0.06281
vdjdb_full_10016_rs_4_n0_iptm_filtered,1,92.58639831,86.3772,82.71323077,81.28649123,89.659375,87.01703704,81.3312766,0.652,0.6975,0.35898073,0.37708667,0.575813,0.05776833,0.0740015
vdjdb_full_10016_rs_4_n0_iptm_filtered,2,92.43282072,86.2736,82.18323077,81.01298246,89.5934375,86.82925926,81.10510638,0.652,0.6975,0.36568469,0.381469,0.571355,0.06079367,0.071174
vdjdb_full_10016_rs_4_n0_iptm_filtered,3,92.41077494,84.9362,81.98646154,80.03280702,89.5396875,87.06425926,81.34702128,0.648,0.6925,0.33071321,0.35757933,0.546839,0.04798733,0.0629755
vdjdb_full_10016_rs_4_n0_iptm_filtered,4,92.0888697,84.5374,80.70246154,79.65894737,88.3490625,85.77981481,80.67659574,0.614,0.6675,0.30052466,0.34159167,0.523941,0.041205,0.0555845
vdjdb_full_10016_ss_0_n0_iptm_filtered,0,91.68100204,74.67022727,82.12543478,74.83632911,80.64456522,77.77205882,80.30219512,0.512,0.5825,0.19087884,0.36534233,0.506443,0.04308867,0.0386385
vdjdb_full_10016_ss_0_n0_iptm_filtered,1,91.68289388,74.42136364,82.34804348,73.16050633,81.65608696,79.22852941,80.20256098,0.544,0.615,0.21797709,0.41686733,0.5543085,0.06753133,0.0513885
vdjdb_full_10016_ss_0_n0_iptm_filtered,2,91.67952857,74.56295455,82.00673913,73.63139241,82.01217391,80.62411765,80.77085366,0.542,0.6125,0.21091516,0.38347267,0.538708,0.05295733,0.046421
vdjdb_full_10016_ss_0_n0_iptm_filtered,3,91.82570204,73.6625,81.15086957,75.09721519,82.31130435,81.11941176,80.31158537,0.53,0.61,0.21671097,0.36716833,0.520331,0.04808233,0.044517
vdjdb_full_10016_ss_0_n0_iptm_filtered,4,92.04223673,74.405,82.29347826,75.37658228,82.05152174,80.21235294,81.46719512,0.556,0.63,0.27652365,0.42240567,0.5673585,0.07337933,0.0590845
vdjdb_full_10016_ss_1_n0_iptm_filtered,0,92.3053882,80.35840909,91.65195652,67.57810345,90.4296875,88.1062963,79.42666667,0.746,0.765,0.37044474,0.586072,0.8240635,0.31481133,0.289126
vdjdb_full_10016_ss_1_n0_iptm_filtered,1,92.15116765,78.41977273,90.44,67.87534483,86.8921875,84.05648148,78.40354839,0.72,0.73,0.33910119,0.535472,0.760113,0.20069233,0.1724005
vdjdb_full_10016_ss_1_n0_iptm_filtered,2,92.43468883,81.43022727,91.48304348,68.15689655,89.32375,87.06574074,78.69849462,0.736,0.7475,0.34302202,0.55887267,0.768746,0.25525033,0.202803
vdjdb_full_10016_ss_1_n0_iptm_filtered,3,92.18340158,79.60295455,91.115,68.05103448,86.544375,83.74648148,77.61946237,0.722,0.7275,0.32563981,0.521327,0.7122635,0.178265,0.128992
vdjdb_full_10016_ss_1_n0_iptm_filtered,4,92.49951348,81.14431818,91.76304348,68.29672414,90.6025,88.48092593,80.31344086,0.76,0.7725,0.38060361,0.571457,0.779299,0.29026067,0.2176535
vdjdb_full_10016_ss_2_n0_iptm_filtered,0,91.79438074,74.78022222,80.79052632,79.40806452,86.14323529,86.45795918,80.52753425,0.53,0.62,0.42246096,0.107015,0.2249725,0.010244,0.0134635
vdjdb_full_10016_ss_2_n0_iptm_filtered,1,91.53357682,72.91377778,78.15333333,79.06693548,85.07029412,85.00816327,81.11958904,0.482,0.5725,0.34429131,0.09061267,0.1701735,0.00957533,0.011004
vdjdb_full_10016_ss_2_n0_iptm_filtered,2,91.38792287,73.562,78.66298246,78.08741935,84.73147059,84.29183673,80.0590411,0.468,0.56,0.35680449,0.09389233,0.172769,0.00963967,0.0110965
vdjdb_full_10016_ss_2_n0_iptm_filtered,3,91.33842481,72.04711111,77.36315789,78.08129032,84.28411765,83.83183673,79.93219178,0.46,0.5575,0.31865679,0.09001567,0.163357,0.00956967,0.0106955
vdjdb_full_10016_ss_2_n0_iptm_filtered,4,91.44401959,72.42866667,77.91403509,77.86080645,84.50941176,83.62061224,80.09561644,0.458,0.5525,0.3296284,0.08985167,0.163141,0.00952467,0.010652
vdjdb_full_10016_ss_3_n0_iptm_filtered,0,91.2763159,69.66272727,70.01371429,81.82271429,83.2897619,74.79836735,78.41462366,0.456,0.555,0.11964034,0.06196867,0.2101565,0.00926633,0.0122095
vdjdb_full_10016_ss_3_n0_iptm_filtered,1,91.25721411,71.75386364,69.53342857,83.16671429,80.29571429,71.64979592,77.07301075,0.476,0.56,0.21465482,0.12163233,0.2353215,0.01074467,0.0126645
vdjdb_full_10016_ss_3_n0_iptm_filtered,2,91.5603163,71.89954545,69.44742857,83.77114286,83.86738095,74.7322449,77.20612903,0.564,0.63,0.22268175,0.18510133,0.3209955,0.01491467,0.0174595
vdjdb_full_10016_ss_3_n0_iptm_filtered,3,91.19377534,69.92659091,69.888,81.36771429,82.75952381,73.20326531,76.90827957,0.45,0.5425,0.11739404,0.11555367,0.1903865,0.01043267,0.0113455
vdjdb_full_10016_ss_3_n0_iptm_filtered,4,91.2915957,71.55045455,69.314,82.997,83.22619048,73.17,77.75516129,0.502,0.5775,0.18636114,0.13744933,0.2463405,0.01158933,0.0133025
vdjdb_full_10016_ss_4_n0_iptm_filtered,0,91.31622339,72.72090909,85.7602439,74.83698795,86.20232558,73.0218,78.91128205,0.42,0.515,0.26170316,0.07621567,0.1318495,0.00909267,0.009493
vdjdb_full_10016_ss_4_n0_iptm_filtered,1,91.29447598,72.23590909,85.83195122,74.66578313,86.23744186,72.4542,78.78153846,0.424,0.5175,0.22665071,0.07682233,0.133918,0.00910767,0.0094765
vdjdb_full_10016_ss_4_n0_iptm_filtered,2,91.35897628,72.52295455,86.43487805,74.88963855,86.74488372,73.5088,79.42948718,0.43,0.5175,0.28570471,0.07910667,0.1359045,0.00918533,0.009596
