pdb_id,model_number,global_plddt,cdr1_A,cdr2_A,cdr3_A,cdr1_B,cdr2_B,cdr3_B,iptm_mean,iptm_tcrpmhc,pdockq,avgipae_pmhc,avgipae_tcr,pdockq2_pmhc,pdockq2_tcr
vdjdb_full_0,4,89.21948687,71.2055,78.68953488,70.49268657,80.67472222,79.90313725,66.1705618,0.43,0.535,0.27502275,0.09487667,0.177423,0.00968067,0.010322
vdjdb_full_1,4,92.96601987,86.68365854,87.54921569,84.61385542,90.42106383,88.58022222,80.16465909,0.842,0.8675,0.39615132,0.639126,0.91875,0.509772,0.502861
vdjdb_full_10,2,91.62182905,89.45933333,85.55811321,87.14,89.76444444,87.97196078,82.40846154,0.796,0.82,0.45675124,0.585118,0.820715,0.38650033,0.3171255
vdjdb_full_10000,0,91.60844485,79.02522727,86.73478261,72.50949367,82.63085714,82.45673077,71.74913043,0.57,0.62,0.28699282,0.20414767,0.314485,0.01605267,0.0156575
vdjdb_full_10003,0,89.55495803,79.042,77.01666667,69.70472527,81.246,78.19,68.50342105,0.364,0.49,0.20314236,0.06579133,0.1088415,0.00880767,0.009004
vdjdb_full_10005,2,91.93348485,83.43622642,85.5912963,76.85616438,85.26921053,82.85410714,78.49244444,0.622,0.67,0.24920462,0.253515,0.4186945,0.0237,0.028589
vdjdb_full_10009,2,91.28794851,82.74702128,82.02741379,78.08280899,81.86378378,84.15222222,72.81833333,0.596,0.675,0.23263047,0.21161433,0.384576,0.01740833,0.0222685
vdjdb_full_10015,2,92.29944546,81.207,91.04627907,76.24862069,81.80704545,83.19764706,78.70931818,0.588,0.6325,0.27506839,0.165553,0.356183,0.01345267,0.0194745
vdjdb_full_10016,0,93.14739684,89.67160714,90.15341463,75.7174359,93.47057143,89.64454545,90.38254545,0.81,0.8275,0.19379908,0.62763933,0.940037,0.48180567,0.6219185
vdjdb_full_10018,1,90.2880214,76.58,77.37216216,75.39053191,86.02837838,74.46333333,79.80377358,0.404,0.4975,0.14363413,0.07125667,0.125778,0.00891433,0.0095455
vdjdb_full_10022,1,89.53781598,73.83358491,78.38092593,70.1,82.6,78.52511628,66.62954545,0.396,0.5025,0.3288039,0.066766,0.111042,0.00873433,0.0088195
vdjdb_full_10026,4,93.2504887,89.72725,90.14545455,79.14391304,91.37425532,90.7272973,88.20305263,0.722,0.775,0.48728377,0.47302533,0.65581,0.161687,0.1481775
vdjdb_full_10031,1,92.82525912,84.19384615,85.52575758,73.45302083,93.68659574,90.70288889,86.27849057,0.81,0.8525,0.43567261,0.61573267,0.8501745,0.438784,0.339703
vdjdb_full_10032,3,94.44969814,87.21595745,89.33873016,94.68565789,94.0825,92.01,89.53616438,0.836,0.8525,0.42507236,0.63745667,0.9332625,0.522855,0.6946295
vdjdb_full_10034,2,89.682679,78.29983333,71.80257143,76.4437037,82.72794872,75.21586957,72.76415842,0.442,0.5375,0.20164227,0.11537033,0.2068055,0.01027633,0.011519
