pdb_id,model_number,global_plddt,cdr1_A,cdr2_A,cdr3_A,cdr1_B,cdr2_B,cdr3_B,iptm_mean,iptm_tcrpmhc,pdockq,avgipae_pmhc,avgipae_tcr,pdockq2_pmhc,pdockq2_tcr
vdjdb_full_0,0,88.7860843,72.8015,78.47697674,72.17895522,81.65611111,80.36686275,65.46764045,0.426,0.5225,0.09650729,0.09398867,0.1646245,0.009604,0.009858
vdjdb_full_0,1,89.08803502,71.63075,78.38046512,71.17134328,80.60805556,79.69960784,65.32370787,0.414,0.52,0.22490329,0.088211,0.157733,0.009432,0.009839
vdjdb_full_0,2,88.92383221,73.46675,79.0844186,72.21567164,81.77611111,79.77137255,67.04674157,0.438,0.5325,0.20842144,0.09568967,0.1764455,0.009602,0.010311
vdjdb_full_0,3,88.92063327,70.97575,78.12767442,69.23059701,79.68472222,78.63078431,61.30651685,0.414,0.52,0.24424957,0.089372,0.1599945,0.009458,0.009731
vdjdb_full_0,4,89.21948687,71.2055,78.68953488,70.49268657,80.67472222,79.90313725,66.1705618,0.43,0.535,0.27502275,0.09487667,0.177423,0.00968067,0.010322
vdjdb_full_1,0,92.60905921,86.8497561,87.5345098,83.33349398,89.79276596,87.67555556,78.80818182,0.81,0.84,0.40615561,0.63197733,0.906303,0.48250833,0.466476
vdjdb_full_1,1,93.03203366,88.12804878,87.10980392,83.88951807,89.56468085,86.82377778,79.02965909,0.814,0.8375,0.42083296,0.628061,0.8788865,0.47591733,0.42002
vdjdb_full_1,2,92.80262368,89.3104878,87.70921569,84.70036145,90.12297872,87.36444444,80.04147727,0.822,0.8475,0.41616281,0.632125,0.8964875,0.48713967,0.465949
vdjdb_full_1,3,92.70854623,86.37390244,87.06313725,83.78361446,89.95425532,87.648,79.69715909,0.812,0.8425,0.40405329,0.62890533,0.889874,0.475567,0.4274875
vdjdb_full_1,4,92.96601987,86.68365854,87.54921569,84.61385542,90.42106383,88.58022222,80.16465909,0.842,0.8675,0.39615132,0.639126,0.91875,0.509772,0.502861
vdjdb_full_10,0,91.09076767,87.34955556,83.02169811,83.92155844,88.40194444,86.91588235,79.82615385,0.746,0.785,0.38113178,0.51880733,0.7226835,0.22810933,0.171627
