sample_id,pae_mean,pae_max,pae_std,pae_median,pae_p10,pae_p90,pae_frac_lt_5,pae_frac_gt_15,pae_asymmetry
vdjdb_full_1,3.2287107,13.2,2.2581873,2.5,1.1,6.4,0.818359375,0.0,1.7472657
vdjdb_full_10,3.4853277,9.1,1.681095,3.5,1.1,5.6,0.8407908428720083,0.0,1.0484911
vdjdb_full_10016,3.0907986,15.1,1.9836227,2.8,1.1,4.8500004,0.90625,0.001736111111111111,1.1517361
vdjdb_full_10026,5.385961,20.7,3.5869772,4.9,1.4,9.7,0.5002974419988102,0.022010707911957167,2.4187982
vdjdb_full_10031,4.5348635,17.6,2.7322447,3.9,1.5,8.569995,0.681640625,0.001953125,2.1447265
vdjdb_full_10032,2.5746174,9.4,1.3428404,2.4,1.1,4.0,0.9477040816326531,0.0,0.75127554
vdjdb_full_10092,2.6924744,8.6,1.3372725,2.5,1.2,4.4,0.9349489795918368,0.0,0.66045916
vdjdb_full_10103,3.3243825,10.9,1.8648076,3.0,1.2,5.75,0.8279320987654321,0.0,1.058642
vdjdb_full_10117,5.7710648,16.6,3.7429035,4.6,1.4,11.0,0.5162037037037037,0.006944444444444444,1.6770061
vdjdb_full_10146,4.3242426,15.2,2.843529,3.6,1.4,8.5,0.6730945821854912,0.0018365472910927456,1.9065197
vdjdb_full_10155,4.147949,14.7,2.2723103,3.7,1.4300003,7.169995,0.7119140625,0.0,1.7787108
vdjdb_full_10163,3.3472652,14.2,2.1705964,2.9,1.2,6.3,0.8285714285714286,0.0,1.6254694
vdjdb_full_10204,3.4867644,11.5,1.8794664,3.2,1.3,5.9,0.7993079584775087,0.0,0.9963668
vdjdb_full_10213,4.988246,12.9,2.7961552,4.9,1.3,8.7,0.5114784205693297,0.0,1.5515151
vdjdb_full_10239,5.041111,18.9,3.2253234,4.5,1.7,9.409997,0.5811111111111111,0.015555555555555555,2.3266666
vdjdb_full_10257,5.9009256,18.2,3.3523276,5.6,1.7,10.4,0.4236111111111111,0.010030864197530864,2.4858024
vdjdb_full_1028,3.8163373,12.0,2.0034344,3.8,1.3,6.3,0.7211238293444329,0.0,1.2318419
vdjdb_full_10284,4.25327,13.5,2.0993497,4.1,1.6,6.8,0.6634958382877527,0.0,1.3469679
vdjdb_full_10285,3.8904488,11.9,2.2742171,3.3,1.6,7.4,0.7551020408163265,0.0,1.7315919
vdjdb_full_10497,4.3381085,12.4,2.3836274,4.0,1.5,7.5,0.5895316804407713,0.0,1.216529
vdjdb_full_10498,2.3488426,9.0,1.0337433,2.3,1.1,3.6,0.9799382716049383,0.0,0.5983025
vdjdb_full_10499,5.534343,18.6,3.0696058,5.1,1.8499999,9.45,0.47923875432525953,0.006055363321799308,2.3285465
vdjdb_full_10500,3.0606658,14.7,2.31267,2.4,1.0,6.3,0.8428720083246618,0.0,1.7284079
vdjdb_full_10501,4.864127,18.5,2.9504054,4.4,1.6,8.7,0.5997229916897507,0.013850415512465374,1.9504155
vdjdb_full_10503,2.344745,7.6,1.0816876,2.2,1.1,3.8,0.9791883454734651,0.0,0.7369407
vdjdb_full_10505,3.0055401,23.8,3.0217924,2.4,1.2,4.2,0.9362880886426593,0.024238227146814405,1.4229918
vdjdb_full_10506,4.1422477,18.6,2.9459622,3.6,1.2,7.6,0.696149843912591,0.007284079084287201,1.8844955
vdjdb_full_10507,2.9694338,17.3,2.3078022,2.4,1.1,5.0,0.8955078125,0.00390625,1.3248047
vdjdb_full_10509,2.9685032,7.6,1.342643,2.8,1.3,4.8,0.9127640036730946,0.0,0.75977963
vdjdb_full_10510,6.6334877,16.6,3.614057,6.6,1.5,11.3,0.3626543209876543,0.010030864197530864,2.2839506
vdjdb_full_10511,2.4000921,6.9,1.1203477,2.2,1.1,3.9,0.9614325068870524,0.0,0.6932966
vdjdb_full_10513,4.1937957,14.0,2.0763023,4.0,1.6,6.7599974,0.6881632653061225,0.0,1.3697959
vdjdb_full_10516,2.5182526,8.6,1.2533709,2.3,1.2,4.1,0.9394463667820069,0.0,0.84619373
vdjdb_full_10517,4.4266205,13.8,2.1989918,4.2,1.7,7.3500004,0.6381172839506173,0.0,1.5242285
vdjdb_full_10518,2.7588022,7.8,1.164133,2.7,1.2,4.3,0.9539810080350621,0.0,0.73192114
vdjdb_full_10519,4.2519894,14.6,2.7989998,3.4,1.4,8.45,0.71280276816609,0.0,2.0797577
vdjdb_full_10521,2.165741,4.9,0.73566496,2.1,1.2,3.1,1.0,0.0,0.43240738
vdjdb_full_10522,3.2701511,11.1,1.722074,3.0,1.4,5.5,0.8724523339907956,0.0,1.0725838
vdjdb_full_10525,4.3821535,15.8,2.2434177,4.3,1.5,7.1,0.6722189173111244,0.000594883997620464,1.503153
vdjdb_full_10527,4.9048777,17.2,2.9623876,4.2,1.8,9.3,0.627007733491969,0.005353955978584176,2.226175
vdjdb_full_10528,2.2357001,5.3,0.79497576,2.2,1.2,3.3,0.997370151216305,0.0,0.46245888
vdjdb_full_10529,1.6689471,4.4,0.5465478,1.6,1.0,2.3,1.0,0.0,0.24425936
vdjdb_full_10531,2.393287,5.9,0.9862291,2.3,1.1,3.7,0.9899691358024691,0.0,0.5939815
vdjdb_full_10535,5.3045707,16.4,2.9454682,5.3,1.5,9.1,0.47714681440443213,0.002077562326869806,1.9083103
vdjdb_full_10536,4.5858135,12.4,2.2391195,4.7,1.5,7.4,0.53719723183391,0.0,1.167128
vdjdb_full_10538,2.8865013,12.0,1.4263723,2.7,1.3,4.5,0.9247015610651974,0.0,0.90211207
vdjdb_full_10539,2.4732246,7.7,1.1182624,2.3,1.1,3.9,0.9644970414201184,0.0,0.7121301
